title,price,reviews,star_rating,url,image
Brittany 81.5'' Vegan Leather Convertible Sofa,$171.74,(1642),4.0,https://www.wayfair.com/furniture/pdp/novogratz-brittany-815-vegan-leather-convertible-sofa-mcce1769.html?piid=57090231&auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/39434524/resize-h400-w400%5Ecompr-r85/1416/141626065/Brittany+81.5%27%27+Vegan+Leather+Convertible+Sofa.jpg
Napa 88.5'' Full-Grain Genuine Italian Leather Sofa,"$1,598.00",(255),5.0,https://www.wayfair.com/furniture/pdp/poly-bark-napa-885-full-grain-genuine-italian-leather-sofa-w004217332.html?piid=627578796&auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/44345239/resize-h400-w400%5Ecompr-r85/2267/226780469/Napa+88.5%27%27+Full-Grain+Genuine+Italian+Leather+Sofa.jpg
"Ilkeston 79"" Wide Vegan Leather Manual Reclining Sofa, 3-Seater Recliner Couch with Cup Holders",$919.99,(409),4.5,https://www.wayfair.com/furniture/pdp/latitude-run-ilkeston-79-wide-vegan-leather-manual-reclining-sofa-3-seater-recliner-couch-with-cup-holders-cxva1530.html?piid=109196133&auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/79264332/resize-h400-w400%5Ecompr-r85/3207/320771333/Ilkeston+79%22+Wide+Vegan+Leather+Manual+Reclining+Sofa%2C+3-Seater+Recliner+Couch+with+Cup+Holders.jpg
Markena 104.3” Upholstered Black Couch Modern Leather Sofa with Sloped Arms,"$2,049.99",(1),5.0,https://www.wayfair.com/furniture/pdp/hokku-designs-markena-1043-upholstered-black-couch-modern-leather-sofa-with-sloped-arms-w110717329.html?auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/27326901/resize-h400-w400%5Ecompr-r85/3425/342541333/Markena+104.3%E2%80%9D+Upholstered+Black+Couch+Modern+Leather+Sofa+with+Sloped+Arms.jpg
"Elaiza 84.65"" Chesterfield Sofa Faux Leather Three Seater Sofa with Rolled Arm",$559.99,(188),4.5,https://www.wayfair.com/furniture/pdp/canora-grey-elaiza-8465-chesterfield-sofa-faux-leather-three-seater-sofa-with-rolled-arm-w008929189.html?piid=2082974767,https://assets.wfcdn.com/im/98380237/resize-h400-w400%5Ecompr-r85/2460/246036751/Elaiza+84.65%22+Chesterfield+Sofa+Faux+Leather+Three+Seater+Sofa+with+Rolled+Arm.jpg
Glennia 2 - Piece Faux Leather Sectional,$430.00,(419),4.0,https://www.wayfair.com/furniture/pdp/ebern-designs-glennia-97-wide-faux-leather-left-hand-facing-sofa-chaise-shlc3124.html?piid=87463994%2C81227827,https://assets.wfcdn.com/im/15959050/resize-h400-w400%5Ecompr-r85/2330/233056022/Glennia+2+-+Piece+Faux+Leather+Sectional.jpg
Bilbil 82.67'' Faux Leather Sofa With 2 Toss Pillows,$549.99,(17),4.5,https://www.wayfair.com/furniture/pdp/alcott-hill-bilbil-8267-faux-leather-sofa-with-2-toss-pillows-w100395613.html?piid=850950511,https://assets.wfcdn.com/im/97606719/resize-h400-w400%5Ecompr-r85/2514/251466020/Bilbil+82.67%27%27+Faux+Leather+Sofa+With+2+Toss+Pillows.jpg
"89"" Upholstered Vegan Leather Sofa with Wide Square Arms and Storage Pockets Couches",$429.99,(91),4.5,https://www.wayfair.com/furniture/pdp/ebern-designs-89-upholstered-vegan-leather-sofa-with-wide-square-arms-and-storage-pockets-couches-w110594047.html?piid=29874889,https://assets.wfcdn.com/im/06927696/resize-h400-w400%5Ecompr-r85/3522/352280683/89%22+Upholstered+Vegan+Leather+Sofa+with+Wide+Square+Arms+and+Storage+Pockets+Couches.jpg
Lamica 83.4'' W Breathable Leather Power Reclining Sofa with Adjustable Headrest & USB,"$1,299.99",(121),4.5,https://www.wayfair.com/furniture/pdp/ivy-bronx-lamica-834-w-breathable-leather-power-reclining-sofa-with-adjustable-headrest-usb-w110527491.html?piid=1467026489,https://assets.wfcdn.com/im/48887612/resize-h400-w400%5Ecompr-r85/2715/271589580/Lamica+83.4%27%27+W+Breathable+Leather+Power+Reclining+Sofa+with+Adjustable+Headrest+%26+USB.jpg
Etherine 80.3'' Wide Modern And Overstuffed Breathable Vegan Leather Manual Reclining Sofa with Pillow Top Arm,$759.99,(62),4.5,https://www.wayfair.com/furniture/pdp/latitude-run-etherine-803-wide-modern-and-overstuffed-breathable-vegan-leather-manual-reclining-sofa-with-pillow-top-arm-w110347604.html?piid=1927764397,https://assets.wfcdn.com/im/37963377/resize-h400-w400%5Ecompr-r85/2676/267634848/Etherine+80.3%27%27+Wide+Modern+And+Overstuffed+Breathable+Vegan+Leather+Manual+Reclining+Sofa+with+Pillow+Top+Arm.jpg
